epoch,train_loss,train_classification_loss,train_logit_consistency_loss,train_embedding_consistency_loss,development_loss,development_accuracy,development_macro_precision,development_macro_recall,development_macro_f1,backbone_learning_rate,head_learning_rate
1,3.166862635148896,3.1451548323219205,0.026033822250880162,0.3300208154559871,2.721394354423868,0.3487654320987654,0.37447496882266407,0.3487654320987655,0.3167928658777741,2.3455598455598455e-06,2.3455598455598454e-05
2,2.0063650367068657,1.9864528486850086,0.027449536229624632,0.2884456229246693,1.4578018502443415,0.6666666666666666,0.7186015845024125,0.6666666666666665,0.6617494282957597,4.691119691119691e-06,4.691119691119691e-05
3,0.9830945956256286,0.9639354418319317,0.03275555383888674,0.2521608886251479,0.9001398282777134,0.7901234567901234,0.7960531566052722,0.7901234567901235,0.7739066926131483,7.036679536679537e-06,7.036679536679536e-05
4,0.5977264737917317,0.5804192087164631,0.030267526635456038,0.22507519251954408,0.6963972162317347,0.7808641975308642,0.7948881879437435,0.7808641975308641,0.7707816023521245,7.49164478652082e-06,7.491644786520819e-05
5,0.41697319378547465,0.40135002598442415,0.024847151549850278,0.21307473905660487,0.6146875821023321,0.808641975308642,0.801418241360622,0.8086419753086419,0.7942657520698966,7.457912861118184e-06,7.457912861118182e-05
6,0.3362452485771091,0.32203318884619225,0.021478683724193683,0.19832644997923463,0.6098896897869346,0.8271604938271605,0.8535310368643702,0.8271604938271605,0.8168740702216121,7.398543434707397e-06,7.398543434707396e-05
7,0.28398028303535633,0.2711784839860083,0.015392948701300617,0.19446419597959813,0.6129210554523232,0.8179012345679012,0.8099716127493906,0.8179012345679012,0.8034813506031406,7.313968866727398e-06,7.313968866727397e-05
8,0.2529642955158596,0.24079782140935646,0.014895615973346363,0.18374701966474086,0.6322551440800168,0.8148148148148148,0.8074101207434542,0.8148148148148147,0.802346635679969,7.204805073736099e-06,7.204805073736098e-05
9,0.21926704111198583,0.2085658225150388,0.010209395407344593,0.17318678969218407,0.5861613779892156,0.8271604938271605,0.8379839931310521,0.8271604938271605,0.8261892316381739,7.071847043981547e-06,7.071847043981546e-05
10,0.20110276665676524,0.19169535570674473,0.007725409397136429,0.15724658556742432,0.59761234958476,0.8425925925925926,0.8546913991358436,0.8425925925925927,0.8344993512446388,6.916063047878706e-06,6.916063047878705e-05
11,0.19277843474238007,0.1839826881977511,0.0065826287717541555,0.14958441151696958,0.5846171202483,0.8487654320987654,0.8545649823427601,0.8487654320987654,0.846256695532058,6.738587586554206e-06,6.738587586554205e-05
12,0.19092116679674315,0.183274785493627,0.006145259418886264,0.12834658952038966,0.5807407755910614,0.8641975308641975,0.8677631010964345,0.8641975308641975,0.8542725658667689,6.540713129811483e-06,6.540713129811483e-05
13,0.17599458716533803,0.16904119146918808,0.0047098739577012124,0.12022842958937456,0.5932264445740499,0.8518518518518519,0.856329729940841,0.8518518518518517,0.8482155101351644,6.323880703684804e-06,6.323880703684803e-05
14,0.1731171771010131,0.16674595756203303,0.00478614381844872,0.10827981768014991,0.5890624748826517,0.8487654320987654,0.8556453834231612,0.8487654320987654,0.8471894283327456,6.08966939612854e-06,6.089669396128539e-05
15,0.17264514391161043,0.1668249633577135,0.004612050078377914,0.09795541596817381,0.617985784271617,0.8518518518518519,0.8554776499220943,0.8518518518518519,0.8481248642152108,5.839784857266836e-06,5.8397848572668354e-05
16,0.16814851183674218,0.16304257942110667,0.0032190016082708616,0.08924264419409964,0.6074821723341451,0.8641975308641975,0.8726644916703395,0.8641975308641976,0.8615311340089276,5.576046877950857e-06,5.5760468779508567e-05
17,0.16670464593227263,0.16205555603000116,0.0025934444654720007,0.08260802335945176,0.6151822251056938,0.8672839506172839,0.8751138234798366,0.867283950617284,0.8630038016699587,5.300376137083147e-06,5.300376137083146e-05
18,0.1615897423737211,0.15736311667219358,0.00195773664222262,0.07670156630101027,0.6148759818371431,0.8518518518518519,0.856884062439618,0.8518518518518519,0.8494380772802673,5.0147802142220525e-06,5.014780214222052e-05
19,0.16015993008091126,0.15614772374155345,0.0026312230570904012,0.0697192402533543,0.6036816585211107,0.8518518518518519,0.8573794518238963,0.8518518518518519,0.8501121190493173,4.721338969329779e-06,4.721338969329778e-05
20,0.15846058758504597,0.15469883299536175,0.00236038736670988,0.06579354088063594,0.611456741521388,0.8549382716049383,0.8622340622340622,0.8549382716049382,0.8539504439021348,4.422189396136477e-06,4.422189396136477e-05
21,0.16038299239252085,0.15685393838326872,0.0021844369381411794,0.06184333976772097,0.6154124413007571,0.8487654320987654,0.8521857771857773,0.8487654320987654,0.8449489140310397,4.119510059426138e-06,4.1195100594261377e-05
22,0.15950430816982264,0.15622531031660827,0.001763786302080355,0.058524808949894376,0.6381028257770303,0.8518518518518519,0.8568998902332235,0.8518518518518517,0.8496254398669859,3.815505229580159e-06,3.815505229580158e-05
23,0.15924544885386654,0.1558815821269412,0.00309680940502145,0.05489009991288185,0.6623651323985661,0.8518518518518519,0.8614492987042006,0.8518518518518517,0.8472325007456788,3.5123888299192214e-06,3.512388829919221e-05
24,0.1563881398351104,0.1534980572530149,0.0015795371908120335,0.051483507877514684,0.6262430575649434,0.8549382716049383,0.8626988238099349,0.8549382716049382,0.85407812620373,3.212368313747376e-06,3.212368313747375e-05
25,0.1557362089048565,0.15290460597585748,0.0017912787297524276,0.049466942333512835,0.6335552513844682,0.8611111111111112,0.8646143979477313,0.8611111111111112,0.8586717558698234,2.917628588514192e-06,2.9176285885141914e-05
