method,cv_macro_f1_mean,cv_macro_f1_std,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1
Logistic Regression,0.9944398061143177,0.0032135295854820614,0.8888888888888888,0.8905142303835114,0.8888888888888891,0.8858468797933431
Shrinkage LDA,0.9919547873691362,0.004687958934989629,0.8839506172839506,0.8909852560007359,0.8839506172839507,0.8840242075835788
RBF SVM C=3,0.9888811622087902,0.0018772785832209566,0.891358024691358,0.8929898957633737,0.891358024691358,0.8885269654337077
RBF SVM C=10,0.9882658142820744,0.0021805821381778922,0.891358024691358,0.8929898957633737,0.891358024691358,0.8885269654337077
Linear SVM,0.9876651302125556,0.0028393174809577012,0.891358024691358,0.8931442167510278,0.891358024691358,0.888435010974761
Extra Trees,0.9820690729712988,0.010213689210081115,0.8839506172839506,0.8854326410698959,0.8839506172839506,0.8818437164433744
Cosine 3-NN,0.9601878553449672,0.0030386041830121656,0.891358024691358,0.8943106519860906,0.891358024691358,0.8892572731563525
Cosine 1-NN,0.9567918067916409,0.0027671535911261576,0.8962962962962963,0.8995222885702762,0.8962962962962964,0.8943050917485413
Original AST head,,,0.8987654320987655,0.9000276653871425,0.8987654320987654,0.8963135629611756
