epoch,train_loss,train_classification_loss,train_logit_consistency_loss,train_embedding_consistency_loss,development_loss,development_accuracy,development_macro_precision,development_macro_recall,development_macro_f1,backbone_learning_rate,head_learning_rate
1,3.005337444941203,2.9852821792536113,0.02335994137330583,0.30766560275163224,2.288200070730453,0.49876543209876545,0.5190666755922654,0.49876543209876545,0.47917929375272095,3.1291390728476823e-06,3.129139072847682e-05
2,1.4415439956668596,1.4208050180430436,0.033847142334341704,0.279391069613879,0.9296765237188143,0.7555555555555555,0.7870801624543823,0.7555555555555556,0.7602515267009454,6.258278145695365e-06,6.258278145695364e-05
3,0.718302181496549,0.6987982818736366,0.03664446776757128,0.24350009596169883,0.558504671336692,0.8444444444444444,0.8556310601770458,0.8444444444444444,0.8390515537198807,7.491608838346044e-06,7.491608838346043e-05
4,0.4984210957193849,0.4802366166713819,0.032517889823254306,0.2336180303227249,0.4097906387330573,0.8740740740740741,0.8770947458703522,0.8740740740740741,0.8731785709775858,7.440862496789247e-06,7.440862496789247e-05
5,0.38250451801131613,0.3661039991017005,0.02482437862842622,0.22871285845984274,0.3270598674507298,0.9020576131687242,0.9072113682818489,0.9020576131687242,0.9023718314321139,7.344784882840327e-06,7.344784882840327e-05
6,0.3197017919068313,0.3042613681720857,0.021764775570983007,0.22174934982067318,0.28050735536426186,0.920164609053498,0.92323338344869,0.920164609053498,0.9193507153019463,7.204619179439302e-06,7.204619179439301e-05
7,0.2733437738460095,0.2590004627680897,0.01647271318120803,0.2209753645593254,0.25390924444659746,0.9267489711934156,0.9322337019179623,0.9267489711934155,0.9253672279151179,7.0221790412355895e-06,7.022179041235589e-05
8,0.2438394913922495,0.23065843681494394,0.013666322392323784,0.20895579335701406,0.23138521296497236,0.9333333333333333,0.9383878686870125,0.9333333333333333,0.9321128211349127,6.799825127055603e-06,6.799825127055602e-05
9,0.22661476305764705,0.21411374709499417,0.012399521407909316,0.20042223571544857,0.22596109178637772,0.939917695473251,0.9427382002007018,0.9399176954732511,0.9377589394727504,6.540434554485773e-06,6.540434554485773e-05
10,0.21080653840926156,0.19951712579572972,0.009896052092057768,0.18620405810982435,0.2138889265587791,0.9423868312757202,0.9452834391377374,0.9423868312757202,0.9402765374147252,6.247363671809179e-06,6.247363671809178e-05
11,0.19953978116536022,0.18931692201106703,0.008037046047662552,0.17230900617974315,0.21158687763927894,0.9440329218106996,0.9456837124490852,0.9440329218106996,0.9433892021534221,5.924404629003161e-06,5.9244046290031606e-05
12,0.19351765909301702,0.1841677076780974,0.007161574307768328,0.1583527321839214,0.22106189021051176,0.9432098765432099,0.9487161828935485,0.94320987654321,0.9406960914509229,5.575736309741438e-06,5.5757363097414374e-05
13,0.18652274230522897,0.1778073029879907,0.006446279691228474,0.1485236626655901,0.20086812463132933,0.9497942386831276,0.9518488914596901,0.9497942386831276,0.9493682580880007,5.205870259309268e-06,5.2058702593092675e-05
14,0.18355592461071205,0.17553899125080202,0.00585077589109021,0.13693556575039725,0.2039927635725143,0.9465020576131687,0.9475257864093225,0.9465020576131686,0.9457504932893959,4.819592308089924e-06,4.819592308089923e-05
15,0.17631232265512742,0.16908607899549588,0.004907271582998141,0.12489577946971304,0.2046384238442521,0.9497942386831276,0.9505692976589374,0.9497942386831276,0.9492370038406657,4.421900645977211e-06,4.421900645977211e-05
16,0.17544006975135992,0.16871322682544368,0.004113625180088007,0.118082355948823,0.2227489424309858,0.9481481481481482,0.9520386334879489,0.9481481481481482,0.9462251584811872,4.017941148991618e-06,4.017941148991618e-05
17,0.17135993230402174,0.16505062495594594,0.004017183391507066,0.11011741241412376,0.20350113856939622,0.9497942386831276,0.9526786268282857,0.9497942386831276,0.9492127605882887,3.612940794932339e-06,3.612940794932338e-05
18,0.17064664070285968,0.16471874495940422,0.0038893752895146193,0.10300040680970719,0.21256109167028356,0.9497942386831276,0.9514964630684088,0.9497942386831276,0.9492198724070811,3.2121400296240883e-06,3.212140029624088e-05
19,0.1694239278486119,0.16372562528249637,0.004095566112852762,0.09758379254768144,0.2078309298542792,0.951440329218107,0.9525996418512901,0.9514403292181071,0.951047161411912,2.8207249588962837e-06,2.8207249588962832e-05
20,0.16588521315090693,0.16051543876899416,0.003690507017169843,0.09263345664413414,0.20736921020005467,0.9465020576131687,0.9476814845156715,0.9465020576131687,0.9457652851236799,2.44376024368704e-06,2.44376024368704e-05
21,0.1657231018021332,0.16046867176371427,0.0038730689615838866,0.0895963220453974,0.20884579002795886,0.9481481481481482,0.9494304610884288,0.9481481481481482,0.9476614880037236,2.0861235665664676e-06,2.0861235665664676e-05
22,0.16603250589536792,0.16085680130109264,0.004308519272967149,0.08628001681607754,0.21048879113830166,0.9506172839506173,0.9526137375593722,0.9506172839506173,0.9500111436508336,1.7524425176405944e-06,1.7524425176405944e-05
23,0.1627373621979756,0.15801659450305636,0.002764030219378895,0.0833592360292501,0.20993693786761397,0.9506172839506173,0.9521140425833279,0.9506172839506175,0.9502482478161854,1.44703471649198e-06,1.44703471649198e-05
24,0.16037456311693238,0.15571175015980926,0.0032553440243392644,0.08023487996699205,0.21219846623118033,0.9506172839506173,0.95161291255062,0.9506172839506173,0.9499757670245877,1.1738519449408732e-06,1.173851944940873e-05
25,0.16088055587230038,0.15649223659762102,0.0025561416646481877,0.07754182100889101,0.21358107578607252,0.9522633744855967,0.9535420719906216,0.9522633744855967,0.951359879347706,9.364290135132661e-07,9.36429013513266e-06
26,0.1585753505947578,0.1542737475675137,0.002287819301037683,0.07688078657904668,0.21239367197938416,0.9489711934156378,0.9500887944549262,0.948971193415638,0.9483199894255209,7.378380232510986e-07,7.378380232510985e-06
27,0.15945917058050335,0.15502230697010286,0.0031289578963068793,0.07622143931649811,0.20983109337434847,0.9473251028806584,0.9484019566375502,0.9473251028806585,0.9469503023589488,5.806486146875566e-07,5.806486146875566e-06
