epoch,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,backbone_learning_rate,head_learning_rate
1,0.4650769034285604,0.7201233169914764,0.8790123456790123,0.8777659734359081,0.8790123456790124,0.8747791737590073,5e-06,2e-05
2,0.46551599351712214,0.74529894641888,0.8814814814814815,0.883929049202527,0.8814814814814815,0.8778102780400542,4.97229876633906e-06,1.9879961320802595e-05
3,0.4442586339182324,0.7368075442166976,0.8962962962962963,0.8942737426354557,0.8962962962962963,0.8913046052978223,4.889877161664096e-06,1.952280103387775e-05
4,0.4566173611967652,0.7442543424941875,0.891358024691358,0.8898425257042388,0.891358024691358,0.8864426481555535,4.754764679423827e-06,1.8937313610836588e-05
5,0.45500120605215616,0.7416102785387156,0.8864197530864197,0.8846461879098618,0.8864197530864197,0.8810644002207613,4.570288237343632e-06,1.813791569515574e-05
6,0.4440455960638729,0.7582779100647679,0.8864197530864197,0.8876646955078328,0.8864197530864197,0.8823974438407142,4.340990257669731e-06,1.714429111656884e-05
