expert,cv_pair_macro_f1_mean,cv_pair_macro_f1_std,gated_samples,test_pair_accuracy,fused_accuracy,fused_macro_f1,correct_predictions
Shrinkage LDA,0.983330117692456,0.015217450951330121,83,0.6333333333333333,0.9407407407407408,0.9398433157275693,1143
Logistic Regression,0.9805485858505346,0.01584094347604093,83,0.6222222222222222,0.939917695473251,0.9389853566849881,1142
Extra Trees,0.9777745621369005,0.012424397689631756,83,0.6,0.9382716049382716,0.937264655964366,1140
Linear SVM,0.9777606053234236,0.018654316445734325,83,0.6222222222222222,0.939917695473251,0.9389853566849881,1142
RBF SVM C=3,0.9749865940469838,0.020616822987954437,83,0.6444444444444445,0.9415637860082304,0.9406985672217281,1144
RBF SVM C=30,0.9749865940469838,0.020616822987954437,83,0.6444444444444445,0.9415637860082304,0.9406985672217281,1144
RBF SVM C=10,0.9749865940469838,0.020616822987954437,83,0.6444444444444445,0.9415637860082304,0.9406985672217281,1144
Cosine 3-NN,0.9388244591340567,0.030448663507697586,83,0.6222222222222222,0.939917695473251,0.9389801599556398,1142
Cosine 1-NN,0.8943338268296468,0.021019573901028064,83,0.6666666666666666,0.9432098765432099,0.9424117777584681,1146
