epoch,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,learning_rate
1,2.968311730137578,2.55531398985121,0.3037037037037037,0.3898741989360244,0.3037037037037037,0.2499268578607714,0.001
2,2.555626534238274,2.2977968592702607,0.345679012345679,0.3723496623129027,0.345679012345679,0.30312328725067306,0.001
3,2.3591640772642912,2.1956026989736674,0.3950617283950617,0.46641377226172553,0.39506172839506176,0.34466627621974344,0.001
4,2.2479410930916117,2.1323144294597483,0.3654320987654321,0.5007392425190064,0.3654320987654321,0.33803724517034806,0.001
5,2.171780824661255,2.031791001779062,0.4,0.469737079282572,0.39999999999999997,0.3644830936285262,0.001
6,2.072052847603221,1.927178535343688,0.48641975308641977,0.576121470424203,0.4864197530864197,0.4696814265264216,0.001
7,2.035059058813401,1.8449701997968886,0.5259259259259259,0.5428233966898136,0.525925925925926,0.4992738320337727,0.001
8,1.9895110889717385,1.8249004811416438,0.5185185185185185,0.552314313366945,0.5185185185185185,0.49551835974513,0.001
9,1.9256428453657362,1.7812816914216971,0.5061728395061729,0.5268881005471043,0.5061728395061729,0.4778146860603763,0.001
10,1.8956615524527467,1.7117655951299786,0.5604938271604938,0.5805364881637394,0.5604938271604938,0.539711040642345,0.001
11,1.8662604835298326,1.7291849707379754,0.5382716049382716,0.5853563154207276,0.5382716049382716,0.5191093674185114,0.001
12,1.8685130852240104,1.6760515527960695,0.5506172839506173,0.5885466396672482,0.5506172839506173,0.5331426708583828,0.001
13,1.8061957524146564,1.6266003832404996,0.5703703703703704,0.5924329543610589,0.5703703703703704,0.5567702603545801,0.001
14,1.7719260727917707,1.627702428087776,0.582716049382716,0.6020280315726504,0.582716049382716,0.5670531135702144,0.001
15,1.7424633079104954,1.6234868750160123,0.5728395061728395,0.5777918243638918,0.5728395061728395,0.5401233184525863,0.001
16,1.7391273734010295,1.5772954128406667,0.5728395061728395,0.6102636638658349,0.5728395061728396,0.5604309961998838,0.001
17,1.6948355771877148,1.5815874211582137,0.5876543209876544,0.5987651550044051,0.5876543209876544,0.5571562784633842,0.001
18,1.6887017956486454,1.5586058357615529,0.582716049382716,0.6178734418032221,0.582716049382716,0.5600067469957293,0.0005
19,1.6119675168284664,1.4823249731534793,0.6246913580246913,0.6379670910740968,0.6246913580246912,0.6119865468166182,0.0005
20,1.5884227364151566,1.4802537700276317,0.6222222222222222,0.6367416928025877,0.6222222222222222,0.6074618143528996,0.0005
21,1.596273249755671,1.4711315985079165,0.6148148148148148,0.6408187220776024,0.6148148148148147,0.6013282164202823,0.0005
22,1.5544632626168522,1.42635061122753,0.6320987654320988,0.6281488315138352,0.6320987654320989,0.6169462689993865,0.0005
23,1.562315539666164,1.4179705278373058,0.6370370370370371,0.6532751399344818,0.6370370370370372,0.6329218185270177,0.0005
24,1.5639747493061018,1.4163108260543258,0.6641975308641975,0.6836845713307703,0.6641975308641975,0.6596883929351802,0.0005
25,1.567153513284377,1.3947176338713847,0.6444444444444445,0.6496635023276114,0.6444444444444445,0.6292476327414415,0.0005
26,1.515061370531718,1.4236074368158975,0.6222222222222222,0.6406875958260548,0.6222222222222221,0.6101740311221695,0.0005
27,1.5447702625651418,1.41386474415108,0.6296296296296297,0.6358770793540315,0.6296296296296297,0.619106697866239,0.0005
28,1.5072894908763743,1.4183119423595476,0.6370370370370371,0.6523898049888538,0.6370370370370372,0.6228361777906505,0.00025
29,1.5108274854259727,1.353353632526633,0.6666666666666666,0.6767627332470815,0.6666666666666669,0.6579038274537432,0.00025
30,1.4718335961118156,1.3531963424918092,0.6666666666666666,0.6754400144123226,0.6666666666666666,0.653964711130274,0.00025
