epoch,train_loss,validation_loss,validation_accuracy,validation_f1,backbone_learning_rate,head_learning_rate
1,1.5185259040981653,0.9037494306211118,0.8189300411522634,0.8177448095074143,1e-05,0.0001
2,0.7421388632721371,0.7479419612099605,0.8732510288065843,0.868059585981536,9.941519617826906e-06,9.938749494460811e-05
3,0.5842438669852269,0.6696780751271503,0.9045267489711935,0.902443931316233,9.767518452401981e-06,9.756506168568391e-05
4,0.49529305946679764,0.6257525773450671,0.9185185185185185,0.9184956288460738,9.482280989894748e-06,9.457757457837132e-05
5,0.4515596448639293,0.6327809123345364,0.9168724279835391,0.9110154961998099,9.092830723281003e-06,9.049859547015365e-05
6,0.42219401978170923,0.5969881214232111,0.928395061728395,0.927162120418955,8.608757210636103e-06,8.542856236403076e-05
7,0.39850520643677734,0.5945066977430273,0.9300411522633745,0.9288044475917832,8.04197994838925e-06,7.949231630155056e-05
8,0.3870905761120251,0.5842649013417248,0.9300411522633745,0.9289806948081706,7.406454873762849e-06,7.283602736204247e-05
9,0.379529367283048,0.5924218159644201,0.9382716049382716,0.9375595910763503,6.717830723281002e-06,6.562359547015366e-05
10,0.37250353522261476,0.5840965828287258,0.9407407407407408,0.939848808999142,5.993063708941099e-06,5.803261463575151e-05
11,0.3707394919522996,0.5873337233017502,0.9374485596707819,0.9364872856251629,5.250000000000001e-06,5.0250000000000015e-05
12,0.36521741769931937,0.5943369652999282,0.9366255144032922,0.934800652449824,4.506936291058906e-06,4.246738536424854e-05
13,0.3632586946212706,0.5975685961452532,0.9349794238683128,0.9340754208980336,3.7821692767190004e-06,3.487640452984638e-05
14,0.3640199652424565,0.5941065917289796,0.9349794238683128,0.933603392192714,3.0935451262371532e-06,2.7663972637957553e-05
15,0.3619132377483227,0.5923094791639979,0.9390946502057613,0.9380666126218337,2.4580200516107535e-06,2.100768369844947e-05
16,0.36090258480099496,0.5950900283615285,0.939917695473251,0.9387320047450771,1.8912427893639e-06,1.5071437635969266e-05
