fold,nearest_similarity,nearest_same_original_recording,retrieval_activated_at_selected_threshold
2,0.9972703,False,True
2,0.99708694,True,True
3,0.99796367,True,True
1,0.99796367,True,True
3,0.9962275,True,True
2,0.9919318,False,False
4,0.9962275,True,True
1,0.9820328,True,False
1,0.93896407,False,False
3,0.9820328,True,False
3,0.9243666,False,False
5,0.9281424,True,False
1,0.87730086,False,False
2,0.9281424,True,False
3,0.9664783,False,False
3,0.927009,False,False
1,0.9489747,False,False
5,0.9664783,False,False
5,0.927009,False,False
1,0.91093385,True,False
5,0.9938115,True,False
3,0.98293984,False,False
4,0.9938115,True,False
1,0.93311036,False,False
4,0.9688144,True,False
3,0.9688144,True,False
1,0.9805203,True,False
1,0.96913505,False,False
2,0.9805203,True,False
5,0.9941281,True,False
5,0.98721236,False,False
2,0.9941281,True,False
1,0.9957113,True,True
5,0.9957113,True,True
5,0.9034444,False,False
2,0.77004266,False,False
5,0.93296385,False,False
4,0.9249294,False,False
4,0.81653774,False,False
4,0.857656,False,False
1,0.95120734,False,False
4,0.9729556,False,False
1,0.9522789,False,False
3,0.89851886,False,False
2,0.9447438,True,False
1,0.99711275,False,True
5,0.9969331,False,True
3,0.9809235,False,False
3,0.99590313,True,True
5,0.99590313,True,True
4,0.8650414,False,False
5,0.92310184,False,False
5,0.99820894,False,True
3,0.99858236,False,True
1,0.9991922,False,True
3,0.9991922,False,True
2,0.99858236,False,True
4,0.99820876,False,True
3,0.9367409,False,False
4,0.91720575,False,False
4,0.9220165,True,False
3,0.9460261,False,False
4,0.9360435,False,False
2,0.9565701,False,False
1,0.870838,False,False
2,0.932933,False,False
5,0.9662008,True,False
4,0.9735023,False,False
2,0.9796642,False,False
2,0.993183,True,False
5,0.9901097,False,False
4,0.993183,True,False
5,0.9235803,False,False
4,0.91978073,False,False
3,0.95668447,False,False
2,0.9684223,False,False
5,0.9847076,False,False
1,0.9888824,False,False
5,0.98752224,False,False
3,0.9848499,False,False
5,0.98334897,False,False
3,0.9269663,False,False
5,0.9404648,False,False
4,0.9518828,False,False
4,0.95202935,False,False
2,0.9862703,False,False
1,0.9812541,False,False
2,0.98247296,False,False
2,0.9834332,False,False
4,0.9715115,False,False
3,0.94453144,False,False
5,0.96774644,False,False
4,0.94012153,False,False
2,0.9739205,False,False
5,0.94890046,False,False
5,0.9582567,True,False
1,0.8358754,False,False
1,0.9372576,False,False
5,0.94553655,False,False
2,0.99800473,True,True
4,0.9828111,False,False
5,0.99800473,True,True
1,0.93397915,False,False
5,0.916764,False,False
2,0.9827546,True,False
2,0.91301215,False,False
3,0.9827546,True,False
5,0.9460633,False,False
5,0.96019685,False,False
5,0.9726339,False,False
2,0.94900495,False,False
5,0.97107416,False,False
3,0.98912525,False,False
2,0.99233645,True,False
4,0.94298244,False,False
4,0.99233645,True,False
5,0.90515906,False,False
5,0.913797,False,False
1,0.93683517,False,False
1,0.94460154,False,False
4,0.9533684,False,False
5,0.9574454,False,False
1,0.94264805,False,False
5,0.9248661,False,False
1,0.985303,True,False
1,0.93734443,False,False
4,0.985303,True,False
2,0.9846937,True,False
1,0.9071257,False,False
3,0.9846937,True,False
3,0.95440507,False,False
2,0.95194435,False,False
3,0.992842,True,False
3,0.969991,True,False
5,0.992842,True,False
3,0.9891865,True,False
1,0.9891865,True,False
3,0.98833954,True,False
3,0.9915745,True,False
2,0.9560756,False,False
1,0.9915745,True,False
2,0.9943416,True,False
4,0.9560756,False,False
4,0.9943416,True,False
2,0.97762746,True,False
3,0.8775204,False,False
5,0.97762746,True,False
2,0.9941418,True,False
3,0.9769322,False,False
3,0.9941418,True,False
1,0.91788113,False,False
5,0.87043977,False,False
2,0.9946271,True,False
2,0.9901097,False,False
3,0.9946271,True,False
4,0.994697,True,False
3,0.9875507,False,False
5,0.994697,True,False
1,0.99667305,True,True
2,0.9914494,False,False
4,0.99667305,True,True
2,0.9561119,True,False
5,0.9561119,True,False
1,0.97121316,False,False
1,0.9650646,False,False
3,0.7961202,False,False
1,0.9989033,True,True
3,0.99425626,False,False
5,0.9989033,True,True
4,0.9957893,True,True
4,0.9554107,False,False
3,0.9957893,True,True
4,0.982089,False,False
4,0.9927808,True,False
3,0.977482,False,False
1,0.9927808,True,False
4,0.9740596,False,False
1,0.99118245,True,False
2,0.94298244,False,False
4,0.99118245,True,False
4,0.9923425,True,False
5,0.9769322,False,False
5,0.9923425,True,False
4,0.9496807,True,False
4,0.85195166,False,False
3,0.9496807,True,False
3,0.99047005,True,False
1,0.9535536,True,False
5,0.99047005,True,False
5,0.9870143,True,False
5,0.95691967,False,False
3,0.9870143,True,False
1,0.9490031,True,False
3,0.74036604,False,False
2,0.9490031,True,False
3,0.94850147,True,False
1,0.871289,False,False
2,0.94850147,True,False
4,0.96626526,False,False
2,0.97393435,False,False
5,0.9913151,True,False
2,0.9913151,True,False
1,0.9987502,True,True
5,0.99425626,False,False
5,0.9987502,True,True
3,0.98067886,True,False
3,0.9307542,False,False
2,0.98067886,True,False
3,0.92222655,False,False
1,0.909149,False,False
4,0.9952271,False,False
4,0.9930631,False,False
4,0.9916265,False,False
1,0.99093145,False,False
5,0.99510896,False,False
1,0.9921789,False,False
1,0.98249537,True,False
1,0.95738745,False,False
2,0.98249537,True,False
4,0.97331715,False,False
4,0.97906584,False,False
5,0.95750374,False,False
3,0.96330655,False,False
4,0.99779713,True,True
5,0.962967,False,False
5,0.99779713,True,True
1,0.9748264,False,False
5,0.983608,False,False
4,0.93049735,False,False
3,0.9002147,False,False
4,0.987966,True,False
4,0.943873,True,False
1,0.987966,True,False
2,0.98864233,True,False
2,0.9605614,False,False
3,0.98864233,True,False
2,0.9859709,True,False
3,0.95691967,False,False
4,0.9859709,True,False
4,0.9887872,True,False
1,0.9887872,True,False
3,0.92895985,False,False
1,0.9118594,False,False
3,0.91179574,False,False
2,0.99430835,False,False
2,0.9964043,True,True
5,0.9875507,False,False
3,0.9964043,True,True
2,0.9935771,False,False
1,0.9947701,False,False
2,0.99661404,True,True
2,0.98442316,False,False
5,0.99661404,True,True
5,0.99543786,True,True
2,0.99543786,True,True
5,0.9950303,True,False
4,0.98066986,False,False
2,0.9950303,True,False
5,0.9326091,False,False
2,0.9809778,True,False
3,0.9809778,True,False
1,0.96943426,True,False
2,0.96943426,True,False
3,0.9815103,True,False
3,0.9211097,False,False
4,0.9815103,True,False
4,0.9750897,False,False
4,0.94216275,False,False
4,0.96158266,False,False
1,0.9922403,True,False
2,0.9922403,True,False
1,0.9157663,False,False
5,0.9322907,False,False
1,0.9278511,False,False
2,0.98727,True,False
4,0.98727,True,False
1,0.9999999,False,True
5,0.99999756,False,True
3,0.984268,False,False
2,0.99440444,True,False
3,0.99440444,True,False
3,0.94971335,True,False
5,0.88730055,False,False
5,0.94971335,True,False
