epoch,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,learning_rate
1,2.3689492634785028,1.2956827861291391,0.7950617283950617,0.8083194857121362,0.7950617283950616,0.7862587435342577,2e-05
2,1.2368987934824862,0.8901235805617438,0.8320987654320988,0.8403589258465419,0.8320987654320988,0.8303686279921978,1.9921935543013333e-05
3,1.0113315630106279,0.7897738605369756,0.8419753086419753,0.848464739976608,0.8419753086419755,0.8393372393425163,1.968897329517345e-05
4,0.9809601915471348,0.7520158641868168,0.8765432098765432,0.8837717673845985,0.8765432098765432,0.8746145223188526,1.930478721029369e-05
5,0.8803827764075479,0.7331980027534344,0.8691358024691358,0.8732356184884565,0.8691358024691359,0.867806407778896,1.877543613243425e-05
6,0.8189005316775522,0.7161850133059937,0.8740740740740741,0.877371064703366,0.8740740740740741,0.8716858803212922,1.8109268244311982e-05
7,0.7759792275634813,0.7295578044137837,0.8691358024691358,0.8746818420021035,0.8691358024691359,0.8668484153436571,1.7316789411471977e-05
8,0.7505432656517735,0.7380853611010092,0.8691358024691358,0.8708809322199416,0.8691358024691359,0.8638441368355573,1.641049749851203e-05
9,0.7795593329417853,0.7140210684434867,0.891358024691358,0.9018968326832777,0.891358024691358,0.8871772604738302,1.5404685270292063e-05
10,0.7180690186995047,0.7182521785482948,0.8864197530864197,0.8865206176437687,0.8864197530864198,0.8826914014316624,1.4315214986494216e-05
11,0.7082882676595523,0.7079260211667897,0.8839506172839506,0.8874011095416324,0.8839506172839507,0.8811497607398044,1.3159268244311977e-05
12,0.693632549636158,0.7231981566658726,0.891358024691358,0.8939614377264875,0.8913580246913582,0.8889261319438277,1.1955075014398674e-05
13,0.6803518607292647,0.7142298008188789,0.8765432098765432,0.8811931562748556,0.8765432098765432,0.8746614353518114,1.0721626143340203e-05
14,0.6883276266080361,0.716733279419534,0.891358024691358,0.8936189718052463,0.891358024691358,0.8883089819037168,9.478373856659797e-06
15,0.6830837962068157,0.721898160966826,0.9012345679012346,0.9016065875542999,0.9012345679012346,0.8981357817054888,8.244924985601326e-06
16,0.695087386281402,0.717870079955937,0.891358024691358,0.8911679616615976,0.891358024691358,0.8873297731406905,7.040731755688022e-06
17,0.6780254354447495,0.7172432519771434,0.8864197530864197,0.8871018777881523,0.8864197530864197,0.8829973688283334,5.884785013505779e-06
18,0.677417148484124,0.7282284983146338,0.8839506172839506,0.8824027976762755,0.8839506172839506,0.8784323482159494,4.79531472970793e-06
19,0.6637533874423416,0.7184813988797458,0.9012345679012346,0.9028766682361454,0.9012345679012347,0.8990097457339868,3.789502501487971e-06
20,0.6848644068947545,0.7223715133873033,0.8864197530864197,0.8850976160444686,0.8864197530864197,0.881874415148866,2.883210588528028e-06
21,0.6999286143868058,0.7246353154565082,0.8938271604938272,0.8909119658259664,0.8938271604938272,0.8888526257350252,2.090731755688022e-06
22,0.7048871484803565,0.7220833378809469,0.8888888888888888,0.8863847390808175,0.8888888888888891,0.8837545429185988,1.4245638675657509e-06
23,0.6718441660021558,0.724408240818683,0.8888888888888888,0.8863847390808175,0.8888888888888891,0.8837545429185988,8.952127897063118e-07
24,0.6348332818643546,0.7249993667190457,0.8888888888888888,0.8863847390808175,0.8888888888888891,0.8837545429185988,5.110267048265535e-07
25,0.6619998584558935,0.7237860646512774,0.8888888888888888,0.8863847390808175,0.8888888888888891,0.8837545429185988,2.7806445698667015e-07
