epoch,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,backbone_learning_rate,head_learning_rate
1,1.5260346435470347,0.9099065099724035,0.8074074074074075,0.8143416133496101,0.8074074074074076,0.8056754409203899,1e-05,0.0001
2,0.7355763187379013,0.742071266036956,0.8740740740740741,0.8770286934831979,0.8740740740740741,0.8737634440250359,9.941519617826906e-06,9.938749494460811e-05
3,0.5840924628722814,0.6776340481185128,0.8946502057613168,0.8958298074940098,0.8946502057613168,0.8929328551275979,9.767518452401981e-06,9.756506168568391e-05
4,0.4994610291694908,0.6344433228174845,0.9119341563786009,0.9178601122940941,0.9119341563786008,0.9072069328498839,9.482280989894748e-06,9.457757457837132e-05
5,0.4529999135943597,0.6147072583069036,0.9160493827160494,0.9186971081378408,0.9160493827160494,0.9131911317492474,9.092830723281003e-06,9.049859547015365e-05
6,0.42107434876171157,0.6007819471290573,0.9300411522633745,0.9340533741938647,0.9300411522633746,0.9273753172641075,8.608757210636103e-06,8.542856236403076e-05
7,0.40004373717700503,0.573010954812721,0.9358024691358025,0.9363697655653959,0.9358024691358025,0.9346609740478158,8.04197994838925e-06,7.949231630155056e-05
8,0.3866811166820212,0.5715792276731735,0.9390946502057613,0.9397151790529039,0.9390946502057614,0.9380799955559509,7.406454873762849e-06,7.283602736204247e-05
9,0.378816927607658,0.5691064130376886,0.9415637860082304,0.9418936338148046,0.9415637860082305,0.9406223146365762,6.717830723281002e-06,6.562359547015366e-05
10,0.3730965027102718,0.5763949456038299,0.939917695473251,0.9408283898659581,0.9399176954732512,0.9387966683807504,5.993063708941099e-06,5.803261463575151e-05
11,0.36871584224602816,0.5717615646344644,0.9423868312757202,0.942629696311492,0.9423868312757202,0.9412999139086856,5.250000000000001e-06,5.0250000000000015e-05
12,0.3654013348459707,0.5666636010992183,0.9448559670781893,0.9460315890341425,0.9448559670781895,0.944126671929461,4.506936291058906e-06,4.246738536424854e-05
13,0.36363019484551357,0.5619250898007994,0.9448559670781893,0.94537315387489,0.9448559670781894,0.9440471550030923,3.7821692767190004e-06,3.487640452984638e-05
14,0.36243084274201726,0.5752034711249081,0.939917695473251,0.9398336889337755,0.9399176954732511,0.9387400274278443,3.0935451262371532e-06,2.7663972637957553e-05
15,0.3610435603332127,0.5692819966700833,0.9415637860082304,0.9416490735063592,0.9415637860082304,0.9404869875323641,2.4580200516107535e-06,2.100768369844947e-05
16,0.36029696444915643,0.572973968168345,0.9382716049382716,0.9389374170042191,0.9382716049382716,0.936937754307155,1.8912427893639e-06,1.5071437635969266e-05
17,0.35995802898956425,0.5681554940011766,0.9415637860082304,0.9420134809300739,0.9415637860082305,0.940449720155713,1.4071692767190005e-06,1.0001404529846371e-05
18,0.359880325921769,0.5699030526626258,0.9407407407407408,0.9409888837817959,0.9407407407407408,0.9395813297225245,1.0177190101052533e-06,5.9224254216287035e-06
